Year,Beijing_Enterprise,Beijing,Tianjin_Enterprise,Tianjin,Shanghai_Enterprise,Shanghai,Chongqing_Enterprise,Chongqing
  1949,21055,1.47,4708,7.29,20307,NA,NA,6.04
  1950,23461,3.07,6358,11.6,20897,NA,NA,6.85
  1951,29839,5.99,9190,17.32,24956,NA,NA,9.58
  1952,34386,7.19,82,18.54,25878,66.6,5863,10.9
  1953,38632,10.28,8459,26.21,29873,91.5,NA,14.88
  1954,39595,11.86,8918,29.43,28860,96.37,NA,19.02
  1955,32036,13.19,7250,30.09,23713,91.42,NA,21.59
  1956,3574,18.19,2710,35.68,18724,113.92,NA,27.47
  1957,4234,19.93,1049,38.57,16316,118.82,2879,31.08
  1958,2084,42.8,2376,61.94,14240,176.44,NA,44.64
  1959,2890,65.37,2169,85.15,12205,254.68,NA,61.96
  1960,2238,86.85,1429,93.42,13488,298.97,5029,26.62
  1961,2207,51.23,1968,51.54,11447,187.43,NA,34.94
  1962,2049,39.09,2018,45.39,8809,151.98,5029,26.62
  1963,2039,40.59,1976,48.95,8522,168.91,NA,28.08
  1964,1715,45.94,1881,55.2,8343,196.95,NA,35.87
  1965,1790,55.03,1969,64.8,8189,230.77,4761,43.94
  1966,1842,66.52,2214,80.42,8267,259.59,NA,51.16
  1967,1841,60.16,2308,68.27,8582,226.88,NA,40.44
  1968,1792,63.44,2284,69.13,8532,251.87,NA,23.28
  1969,1740,90.43,2220,88.47,8635,284.42,NA,36.31
  1970,1819,120.14,1849,99.44,9834,312.18,5077,53.07
  1971,1931,146.99,3216,111.57,9307,336.52,NA,68.55
  1972,2059,155.31,3249,112.24,9327,355.39,NA,65.02
  1973,2167,166.75,3463,123.5,9069,383.33,NA,60.26
  1974,2255,181.7,3641,134.55,8867,398.4,NA,55.36
  1975,3739,197.63,2030,138.2,8743,420.37,7531,74.29
  1976,3877,207.81,2063,131.02,8798,423.45,8489,65.28
  1977,4036,145.41,3785,132.95,8572,458.4,10413,87.81
  1978,2911,165.07,3816,151.01,6975,493.41,8037,64.34
  1979,3240,182.75,3851,163.87,5866,534.92,9178,73.7
  1980,3571,205.82,1024,183.45,6233,574.16,10963,77.23
  1981,3622,210.56,4143,190.76,6753,592.02,11706,84.53
  1982,3709,220.55,4256,201.04,7181,604.43,11727,89.97
  1983,3880,238.93,4186,214.73,7442,627.92,12122,107.97
  1984,4174,270.29,4365,234.95,7295,692.5,13102,119.48
  1985,4777,315.68,4546,285.29,8422,808.5,9924,140.81
  1986,4911,336.55,4770,309.14,8762,890.6,12454,160.42
  1987,5070,388.42,4871,352.61,9328,990.12,11556,192.1
  1988,5196,495.65,5112,431.14,9668,1180.73,11303,252.96
  1989,5336,602.66,5345,493.58,10282,1373.48,10976,299.11
  1990,5409,625.9,5432,524.53,10109,1477.04,10763,299.34
  1991,5409,730.21,5540,578.66,10203,1747.59,10780,342.46
  1992,5308,860.42,5909,697.91,10144,2153.61,9693,419.13
  1993,7530,1168.35,10747,1065.83,10254,2880.62,9083,584.74
  1994,9312,1553.12,11280,1293.79,11496,3664.65,9713,718.54
  1995,9636,1450.27,10671,1382.43,15396,3880.68,11474,765.11
  1996,15002,1522.29,10490,1635.96,15007,4247.12,11077,823.47
  1997,17739,1716.2,11020,1729.94,13861,4602.19,9185,870.55
  1998,4497,1816.48,5412,2062.69,9320,5191.43,2000,766.79
  1999,5225,1999.97,5213,2261.49,9205,5452.91,1975,858.55
  2000,4572,2565.38,5430,2606.38,8574,6204.52,2040,962.32
  2001,4356,2908.82,5561,2940.4,9762,7003.9,2054,1072.83
  2002,4551,3173.48,5346,3323.12,10057,7740.56,2060,1228.37
  2003,4019,3810.36,5341,4049.61,11098,10342.82,2241,1588
  2004,6871,4880.89,6462,5375.09,15766,12885.01,2634,2142.73
  2005,6300,6946.07,6144,6774.1,14809,15767.51,2943,2525.87
  2006,6400,8210,6301,8527.7,14404,18573.13,3208,3213.45
  2007,6397,9648.38,6361,10075.07,15099,22259.94,3916,4363.25
  2008,7205,10413.09,7950,12503.25,18792,25120.92,6119,5755.9
  2009,6890,11039.13,8326,13083.63,17906,24091.26,6412,6772.9
  2010,6884,13699.84,7947,16751.82,16684,30114.41,7130,9143.55
  2011,3746,14513.63,5013,20862.74,9962,32445.15,4778,11847.06
  2012,3692,15596.21,5342,23427.5,9772,31548.41,4985,13104.02
  2013,3641,17370.88,5511,26400.37,9796,32088.88,5559,15824.86
  2014,3686,18452.9,5501,28078.82,9469,32665.19,6158,18782.33
  2015,3548,17449.63,5525,28016.75,8994,31049.57,6608,21404.66
  2016,3340,18087.27,5203,27401.68,8351,31136.03,6782,23906.58
  2017,3231,NA,4286,NA,8122,36094.36,6684,NA
